Identifiant séquentiel unique *,Géométrie *,Nom de la station d'épuration,Numéro de la station d'épuration,Numéro du système de traitement *,Numéro de lieu SAGO,Municipalité(s) desservie(s),Classification,Type de traitement (description),Taille de la station d'épuration,Catégorie de suivi,Date de mise en service,Population de conception,Débit - Calcul de taille (m³/d),Débit de conception (m³/d),DBO5C de conception (kg/d),Latitude de l'émissaire,Longitude de l'émissaire,Lac/Cours d'eau (milieu récepteur),Nom du bassin primaire,Équipements de traitements,Date d'effectivité de l'AA,Nombre d’ouvrages de surverse
633,Point,Station d'épuration de La Malbaie,15012-1,665,X0300160,<Nul>,Physico-chimique,Physico-chimique,Moyenne,5,1998-12-01,7300,"7321,7",9249,686,"47,649,444","-70,125","Malbaie, Rivière","Malbaie, Rivière",DÉG FIN; DESS; PC; UV,<Nul>,20
634,Point,Station d'épuration Sainte-Catherine-de-la-Jacques-Cartier,29130-2,320,X0302057,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,1999-06-01,110,"64,1",50,4,"46,859,167","-71,555","Jacques-Cartier, Rivière","Jacques-Cartier, Rivière",EA (2 cell.),<Nul>,1
635,Point,Station d'épuration de Saint-Marc-des-Carrières,34065-1,707,13432141,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1999-02-01,3131,"1842,3",1732,156,"46,662,778","-72,036,111","Perreault, Ruisseau","La Chevrotière, Rivière",EA (4 cell.),<Nul>,10
636,Point,Station d'épuration de Saint-Tite-des-Caps,21005-1,591,X2048509,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,2,1999-12-01,658,"388,7",313,"43,6","47,138,889","-70,786,389","Lombrette, Rivière","Sainte-Anne, Rivière",ERR (4 cell.),<Nul>,3
637,Point,Station d'épuration de L'Isle-aux-Coudres,16023-1,648,X2052458,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite à parois verticales,Très petite,2,2004-12-01,911,"388,4","460,2","73,7","47,391,944","-70,435,278","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",ERR (2 cell.),<Nul>,8
638,Point,Station d'épuration de Fossambault-sur-le-Lac,22010-1,148,X2048471,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,2013-01-01,4217,2871,2871,"236,1","46,861,667","-71,628,333","Ontaritzi, Rivière","Jacques-Cartier, Rivière",EA (4 cell.); PD,<Nul>,2
639,Point,Station d'épuration de Beaupré,21025-1,631,X2048349,Saint-Ferréol-les-Neiges; Saint-Joachim; Sainte-Anne-de-Beaupré,Physico-chimique,Physico-chimique,Moyenne,5,1998-03-01,22349,10029,12892,1223,"47,040,878","-70,885,319","Sainte-Anne, Rivière","Sainte-Anne, Rivière",DÉG GR; DESS AÉRÉ; PC; PD; UV,<Nul>,7
640,Point,Station d'épuration de Portneuf,34045-1,662,X2048579,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1996-02-01,2515,"1593,1",1752,156,"46,703,056","-71,886,111","Portneuf, Rivière","Portneuf, Rivière",EA (3 cell.); PD,<Nul>,9
641,Point,Station d'épuration de Québec (Est),00020-1,719,X2048580,<Nul>,Biofiltration,Biofiltration,Très grande,8,1992-03-01,270140,"228871,5",231000,25600,"46,835","-71,185","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",BF; DÉC PRIM; DÉG GR; DESS AÉRÉ; PRD; UV,<Nul>,90
642,Point,Station d'épuration de Pont-Rouge (Grand-Remous),29200-2,897,X2149428,<Nul>,Autres,Bionest,Très petite,1,2016-12-01,129,"54,2","54,2","13,55","46,807,955","-7,167,591","Jacques-Cartier, Rivière","Jacques-Cartier, Rivière",BION; CP; FS(F); PP,<Nul>,0
643,Point,Station d'épuration de Saint-François-de-l'île-d'Orléans,20005-1,367,X2125257,<Nul>,Autres,Filtre à tourbe,Très petite,1,2012-01-01,70,40,40,9,"470,075","-70,818,056","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",BE; FT; FS(F),<Nul>,2
644,Point,Station d'épuration de Neuville (Place des Islets Ouest),34007-2,271,X2117281,<Nul>,Disques biologiques,Disques biologiques,Très petite,2,2011-04-01,456,137,137,"33,1","4,671,027","-7,154,945","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉC SEC; BD; BD; FS; UV,<Nul>,2
645,Point,Station d'épuration de Saint-Thuribe,34085-1,739,X2118145,<Nul>,Autres,Bionest,Très petite,1,2011-11-01,129,"44,9","44,9","6,7","46,706,671","-72,159,197","Blanche, Rivière","Sainte-Anne, Rivière",BION; FS; UV,<Nul>,0
646,Point,Station d'épuration de Lac-Beauport (Domaine Écho) Phase1,22040-1,733,X2114787,<Nul>,Disques biologiques,Disques biologiques Rotofix,Très petite,1,2013-09-01,111,63,170,"27,2","4,694,889","-71,296,522","Jaune, Rivière","Saint-Charles, Rivière",DÉC SEC; BD; PD; UV,<Nul>,0
647,Point,Station d'épuration de Cap-Santé,34030-1,636,X2048350,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1997-12-01,1804,"1535,2",1309,101,"46,678,333","-71,806,389","Côte à Morasse, Ruisseau de la","Côte à Morasse, Ruisseau de la",EA (3 cell.),<Nul>,8
648,Point,Station d'épuration de Sainte-Brigitte-de-Laval,22045-4,592,X2048663,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2011-01-01,3985,868,1260,256,"46,985,278","-71,197,222","Montmorency, Rivière","Montmorency, Rivière",EA (4 cell.),<Nul>,5
649,Point,Station d'épuration de Donnacona,29280-1,643,X2048354,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1987-01-01,6295,"4766,6",3815,346,"46,666,667","-71,745,278","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (3 cell.),<Nul>,11
650,Point,Station d'épuration de Pont-Rouge,29200-1,663,X2048480,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1986-03-01,5670,"1984,7",2400,330,"46,741,389","-71,700,278","Jacques-Cartier, Rivière","Jacques-Cartier, Rivière",EA (4 cell.),<Nul>,13
651,Point,Station d'épuration de Boischâtel-L'A.-Gardien-Ch.-Richer,21045-1,635,31346448,Boischatel,Physico-chimique,Physico-chimique,Moyenne,5,1998-09-01,11256,"6016,7",10241,651,"46,903,889","-71,104,722","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG GR; PC; UV,<Nul>,20
652,Point,Station d'épuration de Sainte-Perpétue (L'Islet),17030-1,334,X2011548,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2000-02-01,1392,"817,9",1033,88,"47,082,778","-69,938,333","Paradis, Cours d'eau","Ouelle, Rivière",EA (3 cell.),<Nul>,3
653,Point,Station d'épuration de Sainte-Clotilde-de-Beauce,31060-1,839,X2011498,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2000-12-01,275,"316,3",150,"25,9","461,357","-7,103,088",<Nul>,"Chaudière, Rivière",EA (3 cell.); PD,<Nul>,1
654,Point,Station d'épuration de Saint-Joseph-de-Coleraine (FIR),31045-1,355,X2011484,<Nul>,Autres,Filtres intermittents à recirculation,Très petite,1,1996-02-01,156,"29,5","42,5","7,8","46,005,556","-71,426,944","Vimy, Ruisseau","Bécancour, Rivière",DÉG FIN; FIR; FS(F),<Nul>,1
655,Point,Station d'épuration d'Adstock (Saint-Méthode),24770-1,1,X2011138,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1984-12-01,1250,"549,5",473,97,"460,425","-71,054,167","Tardif-Bizier, Ruisseau","Chaudière, Rivière",EA (2 cell.); PD,<Nul>,1
656,Point,Station d'épuration de Saint-Gédéon-de-Beauce,24130-1,399,X2009667,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1983-10-01,2703,"1763,8",1023,118,"45,864,722","-70,638,611","Chaudière, Rivière","Chaudière, Rivière",EA (3 cell.); PD,<Nul>,2
657,Point,Station d'épuration de Saint-Aubert,13680-1,289,X1200162,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1989-09-01,618,"160,4",258,31,"47,171,944","-70,207,778","Trois Saumons, Rivière","Trois Saumons, Rivière",EA (3 cell.); PD,<Nul>,4
658,Point,Station d'épuration de Saint-Janvier-de-Joly,33065-1,371,90150020,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,1998-08-01,460,"122,3",195,23,"46,483,611","-71,673,333","Cèdres, Rivière aux","Chêne, Rivière du",EA (4 cell.),<Nul>,3
659,Point,Station d'épuration de Beaulac,26200-1,3,90002692,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1986-10-01,493,"596,8",353,"26,6","45,828,611","-71,375,833","Aylmer, Lac","Saint-François, Rivière",EA (3 cell.); PD,<Nul>,2
660,Point,Station d'épuration de Saint-Vallier,19117-1,455,90256801,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,1998-02-01,580,"143,6",222,30,"46,893,056","-70,830,278","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (4 cell.),<Nul>,1
661,Point,Station d'épuration de Saint-Malachie (La Crapaudière),19025-1,813,X1200544,<Nul>,Étangs aérés,Étangs aérés,Très petite,1,1990-07-01,208,"39,1",73,"11,6","46,492,778","-70,714,722","Etchemin, Rivière","Etchemin, Rivière",EA (2 cell.),<Nul>,0
662,Point,Station d'épuration de Saint-Cyrille-de-Lessard,17045-1,898,X2153338,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2017-06-01,518,195,195,"30,9","47,041,486","-70,228,236","Nord-Est, Bras du","Sud, Rivière du",EA (3 cell.); PD,<Nul>,2
663,Point,Station d'épuration de Saint-Marcel,17020-1,385,X2046507,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2004-10-01,240,"61,2",121,"14,8","46,886,944","-70,055,833","Fromagerie, Ruisseau de la","Saint-Jean, Rivière",EA (3 cell.),<Nul>,2
664,Point,Station d'épuration de Saint-Philémon (Massif du sud),19005-3,427,X2024480,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2011-12-01,715,268,268,63,"46,622,786","-70,407,771","Mornes, Rivière des","Sud, Rivière du",EA (3 cell.); PD,<Nul>,1
665,Point,Station d'épuration de Saint-Georges (Saint-Jean-de-la-Lande,29090-1,353,X2013930,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,1996-10-01,363,"319,8",203,19,"46,040,556","-70,710,556","Chaudière, Rivière","Chaudière, Rivière",EA (4 cell.); PD,<Nul>,1
666,Point,Station d'épuration de Lévis (Parc de l'Érablière),25043-1,754,X2013733,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1991-11-01,650,"463,2",397,40,"46,665,833","-71,367,222","Terrebonne, Ruisseau","Chaudière, Rivière",EA (2 cell.),<Nul>,0
667,Point,Station d'épuration de Lévis (Val-des-Bois),25213-6,254,X2013641,<Nul>,Fosse septique,Fosse septique,Très petite,2,2010-06-01,86,"113,6","43,2","6,7","46,813,056","-71,054,167","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",FG; FS,<Nul>,1
668,Point,Station d'épuration de Sainte-Hénédine,22450-1,177,X2013512,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1989-12-01,626,1004,734,42,"46,550,278","-70,993,611","Bras, Le","Etchemin, Rivière",EA (3 cell.); PD,<Nul>,1
669,Point,Station d'épuration de Saint-Elzéar (Beauce),23700-1,77,X2013505,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1990-12-01,879,"766,8",804,"52,8","46,407,222","-71,049,167","Savoie, Rivière","Chaudière, Rivière",EA (2 cell.); PD,<Nul>,2
670,Point,Station d'épuration de Saints-Anges,23640-1,432,X2013476,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1994-09-01,293,"298,9",278,17,"46,415,278","-70,887,222",<Nul>,"Chaudière, Rivière",EA (3 cell.); PD,<Nul>,0
671,Point,Station d'épuration de Saint-Charles-de-Bellechasse,15600-1,40,X2013435,<Nul>,Boues activées,Boues activées à fossé d'oxydation,Moyenne,4,1987-12-01,1450,"1446,7",1158,289,"46,770,379","-70,936,422","Boyer, Rivière","Boyer, Rivière",BA; DÉC SEC; DÉG FIN; PD,<Nul>,3
672,Point,Station d'épuration de Saint-Raphaël,19082-1,437,X2013433,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1987-12-01,1558,1130,1130,85,"46,798,333","-70,773,889","Loutre, Ruisseau à la","Sud, Rivière du",EA (3 cell.); PD,<Nul>,3
673,Point,Station d'épuration de Saint-Anselme,22490-1,281,X2013406,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1993-11-01,2098,"2524,2",3045,207,"46,630,556","-71,009,167","Etchemin, Rivière","Etchemin, Rivière",EA (3 cell.); PD,<Nul>,7
674,Point,Station d'épuration de Saint-Nérée,15400-1,409,X2013260,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1993-12-01,480,"128,9",215,24,"46,731,389","-707,175","Quatre, Ruisseau du","Sud, Rivière du",EA (2 cell.); PD,<Nul>,2
675,Point,Station d'épuration de Saint-Damien-de-Buckland,19030-1,822,X2013258,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1997-06-01,2175,2135,2325,126,"46,613,889","-70,679,444","Billots, Rivière aux","Etchemin, Rivière",EA (4 cell.); PD,<Nul>,1
676,Point,Station d'épuration de Saint-Camille-de-Lellis,28070-1,681,X2013106,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Petite,3,2000-11-01,836,"1106,2",691,42,"46,480,278","-70,191,944","Daaquam, Rivière","Saint-Jean, Rivière",ERR (3 cell.),<Nul>,3
677,Point,Station d'épuration de Saint-Bernard,22750-1,599,X2013105,<Nul>,Boues activées,Boues activées à aération prolongée,Petite,3,1985-05-01,700,"672,7",681,116,"46,498,611","-71,153,333","Îles Brûlées, Rivière des","Chaudière, Rivière",BA; DÉC PRIM; DÉG GR; PD,<Nul>,6
678,Point,Station d'épuration de Saint-Léon-de-Standon,22290-1,404,X2012948,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1984-07-01,1600,"330,1",552,87,"46,487,778","-70,633,889","Etchemin, Rivière","Etchemin, Rivière",EA (3 cell.); PD,<Nul>,3
679,Point,Station d'épuration de Saint-Philémon,19005-1,825,X2012945,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1974-01-01,450,"533,9",552,19,"46,684,722","-70,445,278","Pin, Rivière du","Sud, Rivière du",EA (2 cell.),<Nul>,0
680,Point,Station d'épuration de Saint-Cyprien (Etchemins),28040-1,297,X2012821,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2001-01-01,525,"791,4",682,"28,7","46,351,111","-70,258,056",<Nul>,"Saint-Jean, Rivière",EA (2 cell.),<Nul>,1
681,Point,Station d'épuration de Saint-Prosper,22180-1,443,X2012800,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1986-12-01,2427,"1640,4",1653,162,"46,224,167","-70,523,889","Abénaquis, Rivière des","Chaudière, Rivière",DÉG GR; DESS; EA (3 cell.); PD,<Nul>,2
682,Point,Station d'épuration de Saint-Côme-Linière,23170-1,296,X2012741,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,1986-09-01,2079,"1163,7",1200,112,"46,059,444","-70,540,833","Loup, Rivière du","Chaudière, Rivière",EA (3 cell.); PD,<Nul>,3
683,Point,Station d'épuration de Saint-Honoré-de-Shenley,23230-1,411,X2012732,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1986-12-01,1068,"1095,5",930,109,"45,966,944","-70,836,111","Village, Décharge du","Chaudière, Rivière",DÉG GR; EA (3 cell.); PD,<Nul>,5
684,Point,Station d'épuration de Saint-François-de-la-Rivière-du-Sud,18060-1,366,X2011993,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,1999-01-01,1048,"1298,9",1443,74,"46,885","-70,701,111","Sud, Rivière du","Sud, Rivière du",EA (2 cell.),<Nul>,3
685,Point,Station d'épuration de Lotbinière,28660-1,43,X2011907,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1988-11-01,450,102,182,24,"46,622,778","-71,92","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (2 cell.),<Nul>,1
686,Point,Station d'épuration de Cap-Saint-Ignace,14510-1,217,X2011839,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1994-08-01,1518,"2162,8",1500,85,"47,037,778","-704,725","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (2 cell.),<Nul>,6
687,Point,Station d'épuration de Saint-Apollinaire,33090-1,282,X2011836,<Nul>,Étangs aérés,Étangs aérés à réacteur biologique avec lit en mouvement,Petite,3,2013-01-01,1725,1875,1875,219,"46,626,667","-71,506,944",<Nul>,"Beaudet, Ruisseau",DÉG GR; DESS; EA (3 cell.); PD,<Nul>,3
688,Point,Station d'épuration de Saint-Agapit,28280-1,152,X2011757,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,1993-11-01,2498,"2411,9",2338,193,"4,657,478","-71,42","Noire, Rivière","Chaudière, Rivière",EA (3 cell.); PD,<Nul>,2
689,Point,Station d'épuration de Sainte-Agathe-de-Lotbinière,33015-1,99,X2011738,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1998-02-01,784,"483,7",524,43,"46,394,167","-71,421,389","Saint-Georges, Rivière","Chêne, Rivière du",EA (3 cell.); PD,<Nul>,1
690,Point,Station d'épuration de Saint-Victor,23430-1,445,13438403,<Nul>,Étangs aérés,Étangs aérés,Moyenne,4,1999-04-01,1319,"1826,4",3693,520,"46,157,222","-70,918,611","Saint-Victor, Bras","Chaudière, Rivière",EA (4 cell.); PD,<Nul>,3
691,Point,Station d'épuration de Thetford Mines (Pontbriand),31084-1,830,X2011655,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1980-01-01,490,228,228,"24,5","46,161,944","-71,258,889","Gagné, Rivière","Bécancour, Rivière",EA (2 cell.),<Nul>,0
692,Point,Station d'épuration de Saint-Jean-Port-Joli,13660-1,626,X2011592,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1994-10-01,2454,"2675,6",2495,201,"47,208,056","-70,278,889","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (3 cell.),<Nul>,5
693,Point,Station d'épuration de Disraeli,26600-1,141,X2011560,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1985-01-01,3500,"2082,9",2762,190,"45,894,722","-71,357,222","Aylmer, Lac","Saint-François, Rivière",DÉG GR; EA (4 cell.); PD,<Nul>,9
694,Point,Station d'épuration de Saint-Pamphile,17010-1,589,X2011528,<Nul>,Étangs non aérés,Étangs non aérés à décharge en continu,Petite,3,1962-01-01,2000,1738,2300,100,"46,981,389","-69,783,333",<Nul>,"Saint-Jean, Rivière",ENA (4 cell.),<Nul>,3
695,Point,Station d'épuration de Saint-Joseph-de-Coleraine,27210-1,354,X2011485,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1984-08-01,1487,"1239,7",1552,80,"45,956,111","-71,366,667","Coleraine, Rivière","Saint-François, Rivière",DESS; EA (3 cell.); PD,<Nul>,1
696,Point,Station d'épuration de L'Islet,17075-1,236,X2011445,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1997-09-01,2461,"2204,1",2621,212,"47,118,611","-70,386,944","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (3 cell.),<Nul>,5
697,Point,Station d'épuration de Sainte-Marie,23680-1,66,X2005318,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1986-03-01,7500,"8566,1",8750,3354,"46,472,222","-71,060,833","Chaudière, Rivière","Chaudière, Rivière",EA (4 cell.); PD,<Nul>,8
698,Point,Station d'épuration de Honfleur,19070-1,34,90149436,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,1999-12-01,400,"142,6",206,"24,6","46,651,389","-70,896,111","Boyer Sud, Rivière","Boyer, Rivière",EA (4 cell.); PD,<Nul>,2
699,Point,Station d'épuration de Saint-Odilon-de-Cranbourne,22210-1,429,90002569,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1989-10-01,954,"350,4",418,57,"46,349,167","-70,673,056","Plante, Rivière des","Chaudière, Rivière",EA (2 cell.); PD,<Nul>,1
700,Point,Station d'épuration d'East Broughton,23460-1,151,13437546,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1990-12-01,2557,"3305,6",2242,140,"46,227,778","-71,058,889",<Nul>,"Chaudière, Rivière",EA (3 cell.); PD,<Nul>,2
701,Point,Station d'épuration de Sainte-Euphémie,18035-1,347,X2152077,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2011-05-01,232,"77,7","77,7","11,6","46,774,167","-70,451,389","Perdrix, Rivière des","Sud, Rivière du",EA (4 cell.); PD,<Nul>,1
702,Point,Station d'épuration de Saint-Damase-de-L'Islet,17040-1,302,X2141601,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2014-10-01,258,"93,4",93,"14,4","47,194,722","-70,125,984","Trois Saumons Est, Rivière","Trois Saumons, Rivière",EA (4 cell.); PD,<Nul>,2
703,Point,Station d'épuration de Saint-Jules,27055-2,360,X2139517,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2014-01-01,164,94,94,"10,4","46,218,611","-7,094,397","Ormes, Ruisseau des","Chaudière, Rivière",EA (4 cell.); PD,<Nul>,2
704,Point,Station d'épuration de Leclercville,33123-1,243,X2132558,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2013-02-01,310,"109,1","109,1","16,4","46,567,778","-72,000,556","Saint-Michel, Décharge","Saint-Michel, Décharge",EA (3 cell.); PD,<Nul>,1
705,Point,Station d'épuration de Val-Alain,33070-1,486,X2124095,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2012-07-01,360,"140,3","140,3","20,5","46,415,325","-71,762,688","Chêne, Rivière du","Chêne, Rivière du",EA (3 cell.); PD,<Nul>,2
706,Point,Station d'épuration de Saint-Gilles,33035-1,610,X2064345,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2007-07-01,1168,424,414,"65,7","46,511,667","-713,625","Beaurivage, Rivière","Chaudière, Rivière",EA (2 cell.),<Nul>,3
707,Point,Station d'épuration de Saint-Joseph-de-Beauce,23600-1,702,X1200163,Vallée-Jonction,Étangs aérés,Étangs aérés,Moyenne,5,1988-08-01,4900,"4275,8",5867,1306,"46,335,833","-70,921,111","Chaudière, Rivière","Chaudière, Rivière",EA (4 cell.); PD,<Nul>,4
708,Point,Station d'épuration de Saint-Louis-de-Gonzague,28035-1,877,X2168350,<Nul>,Étangs aérés,Étangs aérés,Très petite,1,2016-04-01,187,"62,3","62,3","9,8","46,267,951","-70,331,722","Boisé, Ruisseau","Chaudière, Rivière",EA (3 cell.); PD,<Nul>,1
709,Point,Station d'épuration d'Adstock (Sacré-Coeur-de-Marie),31056-1,808,X2013927,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2005-01-01,173,"60,7",66,"9,7","461,275","-71,18",<Nul>,"Bécancour, Rivière",EA (3 cell.),<Nul>,0
710,Point,Station d'épuration de Saint-Pierre-de-la-Rivière-du-Sud,18055-1,438,X2133078,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2012-12-01,486,277,277,25,"46,926,111","-70,638,056","Sud, Rivière du","Sud, Rivière du",EA (4 cell.); PD,<Nul>,1
711,Point,Station d'épuration de Sainte-Sabine,28065-1,341,X2133891,<Nul>,Autres,Marais artificiel (roseaux),Très petite,2,2014-05-01,323,117,117,17,"46,488,611","-70,340,833","Bébé, Ruisseau à","Saint-Jean, Rivière",FS(F); ROS,<Nul>,2
712,Point,Station d'épuration de Sainte-Rose-de-Watford,28030-1,339,X2013970,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2005-11-01,347,"132,8","143,5","24,6","46,306,944","-70,448,889","Baillargeon, Ruisseau","Chaudière, Rivière",EA (4 cell.); PD,<Nul>,2
713,Point,Station d'épuration de Saint-Luc-de-Bellechasse,22270-1,811,X2012828,<Nul>,Étangs non aérés,Étangs non aérés à vidange périodique,Très petite,2,1991-08-01,413,"164,7",235,19,"46,498,056","-704,825","Nicole, Ruisseau des","Etchemin, Rivière",ENA (2 cell.),<Nul>,0
714,Point,Station d'épuration de Lévis (Saint-Romuald),21550-1,568,X2013738,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1995-08-01,10612,"8846,4",6859,725,"46,784,722","-71,205,833","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",DÉG GR; EA (3 cell.),<Nul>,13
715,Point,Station d'épuration de Beaumont,19105-4,10,X2154236,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2012-01-01,1519,1099,1099,"177,2","46,831,667","-71,054,167","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (3 cell.),<Nul>,4
716,Point,Station d'épuration de Saint-Jacque-de-Leeds,31140-1,535,X2152076,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2013-12-01,403,"170,7","170,7","32,4","46,286,389","-71,354,444","Craig, Ruisseau","Bécancour, Rivière",EA (4 cell.); PD,<Nul>,2
717,Point,Station d'épuration de Lac-Etchemin,22230-1,225,90003161,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1983-11-01,3500,"1716,6",2650,540,"46,393,056","-70,528,611","Lac Etchemin, Décharge du","Etchemin, Rivière",EA (3 cell.); PD,<Nul>,5
718,Point,Station d'épuration de Sainte-Aurélie,23110-1,93,X2012798,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1982-10-01,2154,"1071,1",1361,118,"46,185,833","-70,374,167","Abénaquis, Rivière des","Chaudière, Rivière",EA (2 cell.),<Nul>,3
719,Point,Station d'épuration de Saint-Sylvestre,33007-1,469,13430590,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,1998-12-01,396,184,253,23,"46,366,111","-71,231,111","Saint-André, Rivière","Chaudière, Rivière",EA (4 cell.); PD,<Nul>,1
720,Point,Station d'épuration de Notre-Dame-Auxiliatrice-de-Buckland,19010-1,267,X2012946,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2011-01-01,530,684,684,"49,5","46,630,278","-70,540,833","Belles Amours, Ruisseau","Sud, Rivière du",EA (4 cell.); PD,<Nul>,2
721,Point,Station d'épuration de Lévis (Saint-Étienne),21220-1,251,X2013729,<Nul>,Étangs aérés,Étangs aérés,Moyenne,5,1987-12-01,6900,"3327,2",3424,450,"46,659,722","-712,875","Beaurivage, Rivière","Chaudière, Rivière",EA (3 cell.); PD,<Nul>,7
722,Point,Station d'épuration de Notre-Dame-du-Sacré-Coeur-d'Issoudun,33085-1,885,X2133589,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2015-10-01,316,110,"107,1","16,6","465,779","-716,272","Bois Franc, Ruisseau","Beaudet, Ruisseau",EA (4 cell.); PD,<Nul>,2
723,Point,Station d'épuration de Saint-Séverin (Beauce),27070-1,457,X2133720,<Nul>,Autres,Marais artificiel de type Écophyltre-T,Très petite,1,2013-01-01,130,"48,8","48,8","7,7","46,331,558","-71,047,619",<Nul>,"Chaudière, Rivière",FS; ROS; PD,<Nul>,1
724,Point,Station d'épuration de Sainte-Apolline-de-Patton,18025-1,857,X2133098,<Nul>,Autres,Marais artificiel (roseaux),Très petite,1,2012-12-01,247,"31,1",88,"13,8","4,680,246","-7,020,645","Octave-Lapointe, Ruisseau à","Saint-Jean, Rivière",FG; FS(F); ROS,<Nul>,2
725,Point,Station d'épuration de Saint-Roch-des-Aulnaies,17065-1,611,X2124091,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,2014-11-01,456,"162,8","162,8","22,8","47,315,833","-70,171,667","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (3 cell.),<Nul>,4
